fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,hue,saturation,value,emocion,confianza_emocional,score_ira,score_tristeza,score_romanticismo,score_energía,score_alegría,score_relajación,score_calma,score_aburrimiento,coherencia_emocional,temperatura_color,luminosidad_cat,saturacion_cat,emocion_optima,alineacion_emocional,mean_R_norm,mean_G_norm,mean_B_norm,mean_L_norm,mean_a_norm,mean_b_norm,contrast_L_norm,hue_norm,saturation_norm,value_norm
OpenFoodFacts,Cervezas,"Desperados Virgin-0,0%",https://images.openfoodfacts.org/images/products/311/978/302/1502/front_fr.51.400.jpg,202.961,186.0785,147.0203,75.8216,2.3842,21.7623,25.7374,41.8924,0.2756,0.7959,Alegría,0.309,0.02686357432376932,0.014760882633034262,0.09054902138899686,0.18545131338152748,0.30896069976171786,0.024160832568239553,0.12337525983312686,0.22587841610958784,30.9,Cálido,Luminoso,Moderado,Relajación,False,0.7676,0.7086,0.5894,0.7193,0.4462,0.7075,0.643,0.1164,0.298,0.7674
OpenFoodFacts,Cervezas,"Natur Radler 0,0%",https://images.openfoodfacts.org/images/products/408/210/000/6508/front_en.7.400.jpg,105.3255,102.6302,91.5242,42.797,-0.0202,7.0635,20.5247,48.2824,0.131,0.413,Tristeza,0.2673,0.09942086176017276,0.2673472573059204,0.16415983425304517,0.09345849746168056,0.089725437288851,0.039786110912974904,0.08948270126820701,0.15661929974914815,26.73,Neutro,Medio,Apagado,Relajación,False,0.3252,0.352,0.3429,0.3319,0.3725,0.4659,0.4604,0.1341,0.1416,0.3251
OpenFoodFacts,Cervezas,"Cerveza 0,0 tostada",https://images.openfoodfacts.org/images/products/841/132/700/2745/front_es.40.400.jpg,126.05,151.1254,168.9544,61.4402,1.8923,-11.5869,24.7766,204.9331,0.2539,0.6626,Energía,0.2249,0.12297468606803745,0.0634887615732673,0.1950376191206167,0.22492355937239886,0.11194371355769155,0.014528128715396263,0.06465639259437574,0.20244713899821615,22.49,Frío,Medio,Moderado,Relajación,False,0.4191,0.5593,0.6868,0.5506,0.4311,0.1594,0.6093,0.5693,0.2745,0.6134
OpenFoodFacts,Cervezas,Cerveza Heineken,https://images.openfoodfacts.org/images/products/000/008/712/0158/front_en.47.400.jpg,80.4731,105.4361,86.1974,41.5132,-12.16895,8.6051,21.9588,133.7587,0.2368,0.4135,Tristeza,0.2726,0.11260033534633486,0.27260432778403904,0.22623125456846105,0.17567415825083801,0.1423307560059052,0.007653305947431752,0.008832622447772503,0.05407323964921749,27.26,Cálido,Medio,Apagado,Relajación,False,0.2126,0.364,0.3193,0.3168,0.0,0.4913,0.5107,0.3716,0.256,0.3257
OpenFoodFacts,Cervezas,La Blonde,https://images.openfoodfacts.org/images/products/376/002/324/1039/front_fr.8.400.jpg,94.5759,85.5312,74.8785,36.0048,3.901,7.5898,26.1098,32.4491,0.2083,0.3709,Neutro/Ambiguo,0.2067,0.1357570983889225,0.20667874125993743,0.16806172728954522,0.11926913563100061,0.14395011912147018,0.024369150106540678,0.0760613124165777,0.12585271578600574,20.67,Neutro,Oscuro,Apagado,Relajación,False,0.2765,0.279,0.269,0.2522,0.4927,0.4746,0.656,0.0901,0.2252,0.2765
OpenFoodFacts,Cervezas,mini,https://images.openfoodfacts.org/images/products/000/005/600/2621/front_pt.34.400.jpg,112.181,101.6815,96.7219,42.6508,4.0844,5.9361,32.3527,19.2492,0.1378,0.4399,Tristeza,0.2275,0.0964652622656561,0.2274772864151674,0.17851476615314668,0.1149645391610708,0.1256746399078629,0.03432941232650551,0.08428712073701641,0.13828697303357415,22.75,Neutro,Medio,Apagado,Relajación,False,0.3563,0.348,0.366,0.3302,0.4983,0.4474,0.8746,0.0535,0.149,0.3562
OpenFoodFacts,Cervezas,Tripel Karmeliet,https://images.openfoodfacts.org/images/products/000/005/405/0082/front_en.112.400.jpg,109.6964,101.1329,88.3352,41.759,1.5467,8.4687,28.1217,35.9466,0.1947,0.4302,Tristeza,0.2463,0.11161385496165925,0.24627545859015426,0.1785680253333129,0.11197592617359292,0.12258191406258721,0.023735216588815115,0.07327914420972348,0.13197046008015492,24.63,Cálido,Medio,Apagado,Relajación,False,0.345,0.3457,0.3288,0.3197,0.4205,0.489,0.7265,0.0999,0.2105,0.345
OpenFoodFacts,Cervezas,75CL BIERE JENLAIN AMBREE,https://images.openfoodfacts.org/images/products/327/191/200/0755/front_fr.16.400.jpg,120.7389,102.9531,92.1674,44.0344,6.2613,9.4972,25.1082,22.6499,0.2366,0.4735,Neutro/Ambiguo,0.2165,0.10996378530491181,0.19998139631135456,0.2165468562878466,0.1571580640335346,0.16959376075294968,0.013140995349477505,0.04402096492012041,0.08959417703980482,21.65,Cálido,Medio,Apagado,Relajación,False,0.395,0.3534,0.3458,0.3464,0.565,0.5059,0.621,0.0629,0.2558,0.395
OpenFoodFacts,Cervezas,Cerveza Mahou Clásica,https://images.openfoodfacts.org/images/products/841/132/702/2019/front_es.29.400.jpg,91.5707,107.4138,104.0192,42.9484,-6.0374,0.2569,25.5192,167.1442,0.1475,0.4212,Tristeza,0.3023,0.09824312126914649,0.3022813860839602,0.16365660332431842,0.08393669408176703,0.04201145117457116,0.05305367003414914,0.09901315611282754,0.15780391791926002,30.23,Frío,Medio,Apagado,Relajación,False,0.2629,0.3725,0.3984,0.3337,0.188,0.3541,0.6353,0.4643,0.1595,0.3346
OpenFoodFacts,Cervezas,Desperados Original aguardiente,https://images.openfoodfacts.org/images/products/311/978/300/7483/front_en.92.400.jpg,158.9369,138.9131,116.5816,58.7706,5.4955,15.7125,21.7512,31.6345,0.2665,0.6233,Energía,0.2481,0.07394772218428222,0.0678506678825426,0.20896911975465873,0.2480567825679677,0.2175740830216179,0.01361881507211815,0.022101559520668824,0.14788124999614385,24.81,Cálido,Medio,Moderado,Relajación,False,0.5681,0.5071,0.4542,0.5193,0.5416,0.6081,0.5034,0.0879,0.2881,0.568
OpenFoodFacts,Cervezas,"Grimbergen 25 cl Grimbergen 0,0% 0.0 DEGRE ALCOOL",https://images.openfoodfacts.org/images/products/308/021/605/6036/front_fr.101.400.jpg,168.6218,145.2105,127.2208,60.8512,7.9509,13.7405,31.0664,26.0714,0.2455,0.6613,Energía,0.2501,0.0821845827267393,0.0483137248511999,0.2076013687197662,0.2500876958102686,0.21986335158360248,0.013358437074078354,0.025746018005999335,0.15284482122834583,25.01,Cálido,Medio,Apagado,Relajación,False,0.612,0.534,0.5015,0.5437,0.6168,0.5757,0.8296,0.0724,0.2654,0.6119
OpenFoodFacts,Cervezas,Blonde sans alcool,https://images.openfoodfacts.org/images/products/327/246/012/3941/front_fr.44.400.jpg,107.7915,106.4758,81.3629,43.5386,-2.4832,14.0916,26.2753,57.013,0.2452,0.4227,Tristeza,0.2473,0.1046975340129047,0.24731307387909507,0.220492524832777,0.16752868430118423,0.15780651765084697,0.011463458106216833,0.01835031544868495,0.07234789176829015,24.73,Cálido,Medio,Apagado,Relajación,False,0.3364,0.3685,0.2978,0.3406,0.2969,0.5815,0.6618,0.1584,0.2651,0.3363
OpenFoodFacts,Cervezas,Alkoholfrei,https://images.openfoodfacts.org/images/products/400/210/324/8118/front_en.10.400.jpg,99.0635,79.1043,72.4067,34.7299,8.6021,6.5847,24.3137,15.0752,0.2691,0.3885,Neutro/Ambiguo,0.2049,0.15402350310704674,0.1615444861693874,0.20494807085696226,0.16687968079829257,0.15644297496839488,0.01448655080726787,0.054081883212768404,0.08759285007987987,20.49,Cálido,Oscuro,Moderado,Relajación,False,0.2968,0.2515,0.258,0.2373,0.6368,0.4581,0.5931,0.0419,0.291,0.2968
OpenFoodFacts,Cervezas,"Bière Brune Draught 4,2% GUINNESS",https://images.openfoodfacts.org/images/products/500/021/310/1223/front_fr.60.400.jpg,61.2954,59.7158,54.68,23.562,-0.1816,3.0253,30.4544,45.6734,0.1079,0.2404,Ira,0.2458,0.24575179557298832,0.15947287078842323,0.07422620098661069,0.056661902751517855,0.06946449023371243,0.10314751994361156,0.10986171916854881,0.18141350055458716,24.58,Neutro,Oscuro,Apagado,Relajación,False,0.1257,0.1687,0.1793,0.1062,0.3675,0.3996,0.8082,0.1269,0.1167,0.1257
OpenFoodFacts,Cervezas,PERONI NASTRO AZZURRO,https://images.openfoodfacts.org/images/products/800/844/021/0456/front_en.3.400.jpg,80.6557,76.6965,58.3911,31.4993,-0.9393,11.2978,25.4075,49.3305,0.276,0.3163,Neutro/Ambiguo,0.2187,0.218697586916966,0.16853434087932403,0.16977893886689133,0.14190441267810894,0.14758529688160668,0.014014000489335012,0.04428055079158601,0.095204872496182,21.87,Cálido,Oscuro,Moderado,Relajación,False,0.2134,0.2412,0.1958,0.1994,0.3443,0.5355,0.6314,0.137,0.2984,0.2134
OpenFoodFacts,Cervezas,Cerveja,https://images.openfoodfacts.org/images/products/000/005/609/0727/front_pt.37.400.jpg,146.1439,110.0666,102.2496,49.1912,13.614,10.902,24.4712,10.6852,0.3003,0.5731,Romanticismo,0.2414,0.07325396419858761,0.15533718793776566,0.24142357211537718,0.21654973314196008,0.1914587664394428,0.013207344254832394,0.029128018887382517,0.0796414130246518,24.14,Cálido,Medio,Moderado,Relajación,False,0.5102,0.3838,0.3906,0.4069,0.7905,0.529,0.5986,0.0297,0.3247,0.5101
OpenFoodFacts,Cervezas,Bière sans alcool 1664,https://images.openfoodfacts.org/images/products/308/021/605/5787/front_fr.88.400.jpg,130.7535,155.6469,126.7603,60.8765,-12.16895,13.7981,32.6538,111.7058,0.1856,0.6104,Energía,0.2926,0.0626136517097574,0.05966875067174029,0.20461376865486694,0.2925507297210006,0.17052156369306784,0.010562834866205507,0.006958822011852356,0.19250987867150915,29.26,Cálido,Medio,Apagado,Relajación,False,0.4404,0.5786,0.4994,0.544,0.0,0.5766,0.8852,0.3103,0.2007,0.5531
OpenFoodFacts,Cervezas,Pure Malt Lager,https://images.openfoodfacts.org/images/products/871/200/032/1024/front_es.3.400.jpg,62.1406,94.0816,107.8633,37.521,-5.7434,-11.159,21.5172,198.0852,0.4239,0.423,Tristeza,0.2459,0.15263952246779383,0.245908731269733,0.20176044375075872,0.151964248691408,0.11943425857401783,0.010703540652974896,0.04202071859012428,0.07556853600318952,24.59,Frío,Oscuro,Moderado,Relajación,False,0.1295,0.3155,0.4155,0.27,0.197,0.1665,0.4952,0.5503,0.4583,0.3366
OpenFoodFacts,Cervezas,Fun,https://images.openfoodfacts.org/images/products/400/894/819/4016/front_en.32.400.jpg,107.4436,113.9342,95.763,46.5774,-4.4573,9.9156,23.3363,81.4315,0.1595,0.4468,Tristeza,0.2344,0.12221929978222565,0.23435849297893202,0.22147994599394502,0.1498557516096817,0.10699877381855621,0.012187025621230382,0.04261967399239187,0.11028103620303717,23.44,Cálido,Medio,Apagado,Relajación,False,0.3348,0.4003,0.3618,0.3763,0.2364,0.5128,0.5589,0.2262,0.1725,0.3641
OpenFoodFacts,Cervezas,Estrella Galicia cerveza,https://images.openfoodfacts.org/images/products/841/259/800/0010/front_en.35.400.jpg,151.0609,91.2466,89.2925,46.9399,20.44865,15.8729,32.8047,1.8982,0.4089,0.5924,Romanticismo,0.2323,0.04057750205883496,0.22606658253916945,0.23232168793938449,0.18792884304217342,0.16713222073850786,0.017025739419781256,0.03698029607106048,0.09196712819108809,23.23,Cálido,Medio,Moderado,Relajación,False,0.5324,0.3034,0.333,0.3805,1.0,0.6107,0.8905,0.0053,0.4421,0.5323
OpenFoodFacts,Cervezas,Bere blondă pasteurizată,https://images.openfoodfacts.org/images/products/594/201/630/6712/front_en.3.400.jpg,88.7379,85.2297,82.346,35.1954,1.0535,2.5378,24.9354,27.0689,0.072,0.348,Tristeza,0.2558,0.09974084312747801,0.25577918614052164,0.12183238092548473,0.0722414354514479,0.10728247419004422,0.0883527656080253,0.09743641787961296,0.1573344966773853,25.58,Neutro,Oscuro,Apagado,Relajación,False,0.2501,0.2777,0.3022,0.2427,0.4054,0.3916,0.6149,0.0752,0.0778,0.25
OpenFoodFacts,Cervezas,Corona Cero,https://images.openfoodfacts.org/images/products/541/022/829/1879/front_de.17.400.jpg,134.6899,112.4189,90.8696,48.7651,7.4263,16.1833,18.8353,29.5059,0.3253,0.5282,Romanticismo,0.2225,0.06145793035378538,0.1841179047527568,0.22252985402434067,0.19781813413063384,0.21323936228081933,0.013563883233371155,0.022408323011428418,0.08486460821286437,22.25,Cálido,Medio,Moderado,Relajación,False,0.4583,0.3939,0.34,0.4019,0.6008,0.6158,0.4013,0.082,0.3517,0.4582
OpenFoodFacts,Cervezas,3 Monts,https://images.openfoodfacts.org/images/products/332/402/030/3758/front_en.37.400.jpg,155.4947,131.8318,119.8951,56.3702,8.216,10.54,22.3171,20.1183,0.2289,0.6098,Romanticismo,0.2299,0.10170464897535213,0.08270887061397991,0.22989984749621617,0.22530278470937296,0.19170770023728118,0.012629607929010968,0.03297406444042327,0.12307247559836337,22.99,Cálido,Medio,Apagado,Relajación,False,0.5525,0.4768,0.4689,0.4911,0.625,0.5231,0.5232,0.0559,0.2475,0.5524
OpenFoodFacts,Cervezas,Cerveza Lager Clásica,https://images.openfoodfacts.org/images/products/848/000/066/4631/front_es.29.400.jpg,86.0574,83.7328,85.2718,35.4949,2.0556,-0.0055,17.6401,320.277,0.027,0.3375,Tristeza,0.2358,0.11587305051579816,0.23582772052785603,0.15590323066691447,0.12196599090778236,0.04292130449767281,0.08058020890689395,0.10377841166165302,0.14315008231542917,23.58,Neutro,Oscuro,Apagado,Relajación,False,0.2379,0.2713,0.3152,0.2462,0.4361,0.3498,0.3594,0.8897,0.0292,0.2379
OpenFoodFacts,Cervezas,Leffe Blonde 🍺,https://images.openfoodfacts.org/images/products/541/022/814/2218/front_en.67.400.jpg,209.719,198.9485,180.1656,79.4471,2.2042,11.1707,32.2033,38.1335,0.1409,0.8224,Alegría,0.2383,0.10585089867525965,0.026121590096355393,0.1261806316143524,0.14134504494004843,0.23833079318287026,0.03587967632837884,0.15905902292184415,0.16723234224089087,23.83,Cálido,Luminoso,Apagado,Relajación,False,0.7982,0.7636,0.7366,0.7619,0.4407,0.5334,0.8694,0.1059,0.1523,0.7981
OpenFoodFacts,Cervezas,Krombacher Pils,https://images.openfoodfacts.org/images/products/400/828/705/6020/front_de.34.400.jpg,137.2979,128.6441,116.9244,53.1374,1.345,7.3878,25.6307,34.5145,0.1484,0.5384,Neutro/Ambiguo,0.1827,0.09680548576401796,0.16881988846172488,0.18234006739603043,0.13944428760535318,0.11076034347315217,0.03394483457263463,0.08514516115593175,0.18273993157115506,18.27,Neutro,Medio,Apagado,Relajación,False,0.4701,0.4632,0.4557,0.4532,0.4143,0.4713,0.6392,0.0959,0.1604,0.47
OpenFoodFacts,Cervezas,Bière Blonde sans alcool 1664,https://images.openfoodfacts.org/images/products/308/021/605/5428/front_fr.155.400.jpg,132.3386,156.4594,127.6048,61.2016,-12.16895,13.8449,32.8227,110.1566,0.1844,0.6136,Energía,0.2934,0.062273327880562224,0.056705092860918564,0.20233819444541545,0.29340226094088967,0.1715907873643384,0.010604541192888232,0.007100010294914725,0.19598578502007286,29.34,Cálido,Medio,Apagado,Relajación,False,0.4476,0.5821,0.5032,0.5478,0.0,0.5774,0.8911,0.306,0.1994,0.5568
OpenFoodFacts,Cervezas,Biere blonde sans gluten JADE,https://images.openfoodfacts.org/images/products/327/246/012/2982/front_fr.13.400.jpg,90.9027,82.993,65.4298,34.67,0.9767,11.2414,24.9081,41.3691,0.2802,0.3565,Neutro/Ambiguo,0.2006,0.1699173439660214,0.20060989025108203,0.17930653397539492,0.1397372389664921,0.15748387268361044,0.014107436818528553,0.04497289406468554,0.09386478927418497,20.06,Cálido,Oscuro,Moderado,Relajación,False,0.2599,0.2681,0.2271,0.2366,0.403,0.5346,0.6139,0.1149,0.303,0.2598
OpenFoodFacts,Cervezas,BTE 50CL DESPERADOS 5.90%,https://images.openfoodfacts.org/images/products/311/978/026/6401/front_fr.29.400.jpg,105.2183,92.1062,60.4257,38.6345,1.6825,18.4465,28.4053,42.4363,0.4257,0.4126,Tristeza,0.2601,0.07893411745667964,0.2601252627405033,0.1857080709766204,0.1701658455471568,0.20543191946307449,0.01437430141550766,0.018123783997998386,0.06713669840245941,26.01,Cálido,Oscuro,Moderado,Relajación,False,0.3247,0.3071,0.2048,0.2831,0.4247,0.653,0.7364,0.1179,0.4603,0.3246
OpenFoodFacts,Cervezas,33CL BIERE BLONDE CHOUFFE 8%V,https://images.openfoodfacts.org/images/products/541/076/910/0081/front_fr.62.400.jpg,123.8066,113.909,98.3614,46.9142,1.8507,9.3719,30.1862,36.6614,0.2055,0.4855,Neutro/Ambiguo,0.2141,0.10909335851879604,0.21409706412686827,0.20155051302926552,0.13542540637435266,0.1333920042638093,0.017860206902402986,0.061310011750080586,0.1272714350344246,21.41,Cálido,Medio,Apagado,Relajación,False,0.4089,0.4002,0.3733,0.3802,0.4298,0.5039,0.7988,0.1018,0.2222,0.4088
OpenFoodFacts,Cervezas,Birra Moretti,https://images.openfoodfacts.org/images/products/800/143/550/0013/front_en.16.400.jpg,141.7077,103.0747,74.4844,46.1504,11.8069,22.2158,21.6868,25.5182,0.4744,0.5557,Tristeza,0.2673,0.02480244084858017,0.2673032534297521,0.20588300069106383,0.16147926238747135,0.19741092082587963,0.017569645025581847,0.029448679969553287,0.0961027968221178,26.73,Cálido,Medio,Moderado,Relajación,False,0.4901,0.3539,0.2673,0.3712,0.7351,0.715,0.5011,0.0709,0.5129,0.4899
OpenFoodFacts,Cervezas,Bier Tsingtao,https://images.openfoodfacts.org/images/products/690/103/560/1030/front_fr.56.400.jpg,183.9886,189.992,144.7026,75.493,-8.0766,22.427,21.6077,67.9534,0.2384,0.7451,Alegría,0.281,0.014739949457345141,0.013864543399175347,0.06864779731544962,0.18417549843686754,0.28103880187735986,0.025064261747607362,0.13698900270408856,0.2754801450621065,28.1,Cálido,Luminoso,Apagado,Relajación,False,0.6816,0.7253,0.5791,0.7155,0.1255,0.7184,0.4984,0.1888,0.2578,0.7088
OpenFoodFacts,Cervezas,TourtelTourtel Twist Pêche 0.0 Degre Alcool,https://images.openfoodfacts.org/images/products/308/021/604/9250/front_en.70.400.jpg,224.951,225.4424,225.4229,88.7848,-0.1695,-0.0457,24.8476,177.619,0.0022,0.8841,Relajación,0.3192,0.037451035588142834,0.080909465312743,0.03502042150580163,0.032206061185817494,0.07824081608491086,0.3192459608587718,0.26083656250054915,0.15608967696326317,31.92,Neutro,Luminoso,Apagado,Relajación,True,0.8672,0.8768,0.9376,0.8714,0.3679,0.3491,0.6118,0.4934,0.0024,0.8693
OpenFoodFacts,Cervezas,Bière Blanche 1664 sans alcool,https://images.openfoodfacts.org/images/products/308/021/605/8603/front_fr.3.400.jpg,136.3592,128.7346,112.2835,54.0506,1.0794,10.6287,16.9575,40.9984,0.1766,0.5347,Neutro/Ambiguo,0.2142,0.11451323070129864,0.13388043276264955,0.21415041706034124,0.18260170032784165,0.1433634185904354,0.014430730944485338,0.04910221961338197,0.14795784999956615,21.42,Cálido,Medio,Apagado,Relajación,False,0.4658,0.4636,0.4351,0.4639,0.4062,0.5245,0.3355,0.1139,0.1909,0.4657
OpenFoodFacts,Cervezas,Speciale,https://images.openfoodfacts.org/images/products/611/104/500/5920/front_fr.3.400.jpg,97.4423,106.2383,75.1237,42.9721,-7.2093,16.2677,22.7955,76.9618,0.2929,0.4166,Tristeza,0.2845,0.07137371414537069,0.28449846742319324,0.2150738114604338,0.17981383874660978,0.1616634379761963,0.011563998162633964,0.00958105369186648,0.06643167839369571,28.45,Cálido,Medio,Moderado,Relajación,False,0.2895,0.3675,0.2701,0.334,0.1521,0.6172,0.54,0.2138,0.3167,0.3293
OpenFoodFacts,Cervezas,NON-ALCOHOLIC BEER,https://images.openfoodfacts.org/images/products/800/844/021/4065/front_en.43.400.jpg,137.4612,127.1762,92.2306,52.8534,-0.2321,20.1219,22.7818,46.3566,0.329,0.5391,Energía,0.2259,0.03982767678499304,0.16913330765204718,0.21653629922483802,0.22589230429035703,0.1908536088895586,0.014755797823865187,0.016754925311123787,0.1262460800232172,22.59,Cálido,Medio,Moderado,Relajación,False,0.4708,0.4569,0.3461,0.4499,0.366,0.6806,0.5395,0.1288,0.3557,0.4708
OpenFoodFacts,Cervezas,Krombacher Pils,https://images.openfoodfacts.org/images/products/400/828/705/4026/front_en.59.400.jpg,136.8523,109.709,96.2483,47.5145,8.9545,11.6407,24.9814,19.8907,0.2967,0.5367,Romanticismo,0.2334,0.090712943674988,0.17206280042120503,0.2334346945643769,0.19138568202655518,0.1956096649289116,0.012464615188940037,0.027796241395096465,0.07653335779992675,23.34,Cálido,Medio,Moderado,Relajación,False,0.4681,0.3823,0.3639,0.3872,0.6476,0.5412,0.6165,0.0553,0.3208,0.468
OpenFoodFacts,Cervezas,Desperados,https://images.openfoodfacts.org/images/products/311/978/025/0110/front_fr.38.400.jpg,206.3692,177.5842,131.5833,73.6376,5.8747,27.6276,27.1525,36.9061,0.3624,0.8093,Aburrimiento,0.3029,0.011148104288905348,0.020997514684456414,0.07358447437946243,0.16333726702660945,0.29222894807994426,0.024671203490972755,0.11114078905342441,0.302891698996225,30.29,Cálido,Luminoso,Moderado,Relajación,False,0.783,0.6723,0.5208,0.6937,0.5532,0.8039,0.6925,0.1025,0.3918,0.7829
OpenFoodFacts,Cervezas,Kronenbourg Bière blonde 4.2%vol,https://images.openfoodfacts.org/images/products/308/021/605/1536/front_fr.98.400.jpg,185.0832,138.7621,116.9973,61.6283,17.076,19.6432,30.3078,19.18,0.3679,0.7258,Energía,0.254,0.03214417446309994,0.056675036259281074,0.19173480190368555,0.25404460011183616,0.20527556184782508,0.01845176797029466,0.03671954476492373,0.20495451267905385,25.4,Cálido,Medio,Moderado,Relajación,False,0.6866,0.5064,0.4561,0.5528,0.8966,0.6727,0.803,0.0533,0.3978,0.6865
OpenFoodFacts,Cervezas,1664,https://images.openfoodfacts.org/images/products/308/021/000/1100/front_fr.186.400.jpg,133.2313,135.6568,162.0464,57.3378,8.8966,-13.2056,28.415,234.9495,0.1778,0.6355,Energía,0.2482,0.09144293393072712,0.09126687178622078,0.2116849776683034,0.24818253869290555,0.13321989719372193,0.016115664689506752,0.05264781476426473,0.15543930127434968,24.82,Cálido,Medio,Apagado,Relajación,False,0.4516,0.4932,0.6561,0.5025,0.6458,0.1328,0.7367,0.6527,0.1922,0.5821
OpenFoodFacts,Cervezas,לף בלנוד פחית,https://images.openfoodfacts.org/images/products/541/022/822/2941/front_fr.6.400.jpg,109.2606,94.3266,76.0252,40.1482,3.9051,12.7903,23.4815,33.0396,0.3042,0.4285,Tristeza,0.2212,0.11460835612358758,0.22121290550293632,0.20514577706018572,0.15839315250427025,0.1870589885759228,0.012622914315928492,0.028791403593062075,0.07216650232410673,22.12,Cálido,Medio,Moderado,Relajación,False,0.343,0.3166,0.2741,0.3008,0.4928,0.5601,0.564,0.0918,0.3289,0.343
OpenFoodFacts,Cervezas,Grimbergen Blonde,https://images.openfoodfacts.org/images/products/308/021/604/9632/front_fr.253.400.jpg,175.8297,147.3718,113.8421,61.9409,7.9832,21.8876,30.7358,32.4546,0.3525,0.6895,Energía,0.2592,0.025202384146750592,0.05601118324169295,0.16943605428366798,0.25919479160386427,0.22666125118536262,0.01781297365407212,0.02809730741521993,0.21758405446936954,25.92,Cálido,Medio,Moderado,Relajación,False,0.6447,0.5432,0.4421,0.5565,0.6178,0.7096,0.818,0.0902,0.3811,0.6445
OpenFoodFacts,Cervezas,Bière blanche 1664,https://images.openfoodfacts.org/images/products/308/021/605/1529/front_fr.84.400.jpg,121.7274,152.6486,184.888,61.4589,3.4368,-19.4966,34.2059,210.6261,0.3416,0.7251,Energía,0.2769,0.04629695078951652,0.06100746745556828,0.17804993444585704,0.27688691593132836,0.15092627404584288,0.017312313295913755,0.05075983820978291,0.21876030582619027,27.69,Frío,Medio,Moderado,Relajación,False,0.3995,0.5658,0.7576,0.5508,0.4784,0.0294,0.9395,0.5851,0.3693,0.6857
OpenFoodFacts,Cervezas,Birra Peroni CL,https://images.openfoodfacts.org/images/products/000/008/006/7955/front_fr.36.400.jpg,190.466,140.3441,132.6563,63.157,19.2334,14.8342,30.5377,7.9791,0.3035,0.7469,Energía,0.2685,0.04339759996198747,0.04219637992413533,0.19816574499493297,0.2685081481324535,0.19686638653590133,0.01720273239278811,0.0389759167651969,0.19468709129260445,26.85,Cálido,Medio,Moderado,Relajación,False,0.711,0.5132,0.5256,0.5708,0.9627,0.5937,0.8111,0.0222,0.3281,0.7108
OpenFoodFacts,Cervezas,Biere bud,https://images.openfoodfacts.org/images/products/501/437/900/7237/front_fr.24.400.jpg,110.0706,55.2134,54.8577,30.895,20.44865,13.2487,20.3726,0.3865,0.5016,0.4316,Neutro/Ambiguo,0.1937,0.1528018779476522,0.1521341089735574,0.18376883376529515,0.19368935380756605,0.18387923520229138,0.018193361812670512,0.041292744929072374,0.0742404835618949,19.37,Cálido,Oscuro,Moderado,Relajación,False,0.3467,0.1494,0.1801,0.1923,1.0,0.5676,0.4551,0.0011,0.5423,0.3466
OpenFoodFacts,Cervezas,Pils,https://images.openfoodfacts.org/images/products/000/004/100/1318/front_en.36.400.jpg,108.7153,98.464,80.5166,41.4454,1.6291,12.0232,23.3068,38.1877,0.2594,0.4263,Tristeza,0.2334,0.11928986352387316,0.2334433713124099,0.20545287528366712,0.14779892240190765,0.16205504275001478,0.012604413677583318,0.03498913520988417,0.08436637584065991,23.34,Cálido,Medio,Moderado,Relajación,False,0.3406,0.3342,0.2941,0.316,0.423,0.5475,0.5579,0.1061,0.2805,0.3405
OpenFoodFacts,Cervezas,Twist Raspberry,https://images.openfoodfacts.org/images/products/308/021/604/8543/front_en.193.400.jpg,139.7215,177.0565,110.7878,68.9734,-12.16895,30.1322,23.2295,93.8033,0.3743,0.6943,Aburrimiento,0.446,0.001342445957017973,0.03285366902621814,0.08170442793941213,0.20382818981784442,0.1573772045527493,0.02404393885278226,0.052817254806467984,0.4460328690475079,44.6,Cálido,Medio,Moderado,Relajación,False,0.4811,0.6701,0.4285,0.639,0.0,0.8451,0.5552,0.2606,0.4047,0.6501
OpenFoodFacts,Cervezas,Heineken Beer,https://images.openfoodfacts.org/images/products/871/200/090/0045/front_fr.6.400.jpg,108.2187,103.026,93.2925,42.451,0.7893,6.804,28.2658,39.1265,0.1379,0.4244,Tristeza,0.263,0.09666722513323502,0.2630158990750817,0.16115143436009802,0.09260591761168002,0.09789817253524477,0.041987668802238955,0.09070565276865088,0.1559680297137707,26.3,Neutro,Medio,Apagado,Relajación,False,0.3383,0.3537,0.3508,0.3278,0.3973,0.4617,0.7315,0.1087,0.1491,0.3383
OpenFoodFacts,Cervezas,"Cerveza 0,0% sin alcohol",https://images.openfoodfacts.org/images/products/841/065/500/9006/front_es.19.400.jpg,90.2192,81.4479,70.4125,34.2882,2.114,7.3593,21.5685,33.4293,0.2195,0.3538,Neutro/Ambiguo,0.2115,0.1476114393181577,0.21150548439484715,0.14704924739133296,0.1022369273077033,0.1259774066095438,0.033609768533189345,0.08763230150625245,0.1443774249389733,21.15,Neutro,Oscuro,Apagado,Relajación,False,0.2568,0.2615,0.2492,0.2321,0.4379,0.4708,0.497,0.0929,0.2373,0.2567
OpenFoodFacts,Cervezas,Birra,https://images.openfoodfacts.org/images/products/841/065/500/3820/front_it.3.400.jpg,144.5716,123.2558,102.2019,52.5057,5.3603,14.7658,20.5565,29.8146,0.2931,0.5669,Romanticismo,0.2275,0.08125192636038873,0.13520428139169663,0.22748828307101607,0.21270003786952782,0.2051769170799013,0.012965439042318434,0.02234424002386375,0.10286887516128733,22.75,Cálido,Medio,Moderado,Relajación,False,0.503,0.4402,0.3904,0.4458,0.5374,0.5925,0.4616,0.0828,0.3169,0.5029
