fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,emocion_1,valencia_1,deltaE_1,emocion_2,deltaE_2,emocion_3,deltaE_3
Amazon Berkeley Objects,Hogar - Sofás,"Stone & Beam Chianti Uhr, 25020002",https://m.media-amazon.com/images/I/B1QrYeOFO2S._SX512_.jpg,124.7652,64.1753,63.0129,34.4688,26.0537,13.0798,18.3369,Angry,Negativa - Alta activación,6.95,Tense,12.07,Irritated,18.38
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Beige/Sky Boat Shoes-10 UK/India (44 EU) (AZ-WS-276C),https://m.media-amazon.com/images/I/815nocrrvsL._SX512_.jpg,213.5635,209.0422,196.9986,83.5953,0.043,6.9486,17.6292,Refreshed,Positiva - Baja activación,12.01,Soothed,15.17,Happy,18.55
Amazon Berkeley Objects,Hogar - Camas,"AmazonBasics Faux-Linen Button Tufted-Upholstered Bed with Curve Design - Strong Wood Slat Support - Easy Assembly - Beige, Twin",https://m.media-amazon.com/images/I/81uIQx8WGeL._SX512_.jpg,239.9739,238.2484,236.3757,94.0479,0.2816,1.1561,13.2712,Soothed,Positiva - Baja activación,17.37,Refreshed,21.09,Calm,26.02
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - find. Women's Wedge Heels Sandals,https://m.media-amazon.com/images/I/71TYtL1Xy-L._SX512_.jpg,236.7449,234.2056,232.66,92.4187,0.8348,1.2772,20.0272,Soothed,Positiva - Baja activación,16.39,Refreshed,19.72,Relaxed,24.9
Amazon Berkeley Objects,Hogar - Camas,"Amazon Brand – Rivet Gwyneth Mid-Century Velvet King Bed with Headboard, 82""W, Navy Blue",https://m.media-amazon.com/images/I/81ULTTSAa9L._SX512_.jpg,196.525,206.7068,211.3606,81.1959,-1.746,-3.7275,31.3647,Soothed,Positiva - Baja activación,5.85,Refreshed,10.73,Relaxed,12.89
Amazon Berkeley Objects,Moda - Zapatos,"Marchio Amazon - find. - Menorcan Leather, Sandali con Cinturino alla Caviglia Donna",https://m.media-amazon.com/images/I/61vcbQ+T4SL._SX512_.jpg,232.2276,219.4747,210.532,88.0,3.6288,6.573,19.2435,Refreshed,Positiva - Baja activación,17.36,Soothed,18.3,Happy,19.38
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand - Movian Coffee Table, 63 x 110 x 44 cm, Oak/Timber/High Gloss White",https://m.media-amazon.com/images/I/8141IOfx7WL._SX512_.jpg,167.738,165.765,170.0501,67.9185,1.7823,-1.8525,16.7105,Thirsty,Neutral - Sensorial,7.39,Relaxed,10.48,Refreshed,11.0
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symactive Men's D.Grey Running Shoes-11 UK (45 EU) (12 US) (SYM-SS-038C),https://m.media-amazon.com/images/I/81dN146g6nL._SX512_.jpg,167.6292,169.2081,171.411,67.3982,-0.097,-1.4191,34.3601,Thirsty,Neutral - Sensorial,5.49,Relaxed,9.06,Refreshed,9.9
Amazon Berkeley Objects,Hogar - Camas,Amazon Brand - Solimo Costa Engineered Wood Queen Bed with Storage(Wenge),https://m.media-amazon.com/images/I/71zQjYnbsrL._SX512_.jpg,166.9314,165.0208,161.2389,65.8624,0.2679,2.398,34.3626,Thirsty,Neutral - Sensorial,6.92,Refreshed,10.29,Relaxed,11.84
Amazon Berkeley Objects,Hogar - Sofás,"Amazon Brand - Movian Ribe - Divano a 2 posti, 92 x 170 x 85 cm (Lu x La x A), verde scuro",https://m.media-amazon.com/images/I/81kylXF10xL._SX512_.jpg,153.9723,155.5879,154.8781,62.0209,-0.8156,0.19,35.4863,Thirsty,Neutral - Sensorial,5.58,Relaxed,11.93,Refreshed,13.35
Amazon Berkeley Objects,Moda - Carteras,"Valenchi - Front Pocket Minimalist RFID Wallet for Men and Women with Multi Card Slots,Note Pocket and ID Window (Cognac Hunter Flower)",https://m.media-amazon.com/images/I/81StcC3y3UL._SX512_.jpg,136.3474,116.2049,111.1668,49.4272,8.4099,6.5478,29.1795,Anxious,Negativa - Alta activación,6.55,Irritated,6.72,Sensual,10.54
Amazon Berkeley Objects,Hogar - Sillas,"Marchio Amazon - Movian Wye - Sedie da pranzo, colore grigio chiaro, set da 2",https://m.media-amazon.com/images/I/51NENxgvlML._SX512_.jpg,237.209,235.0102,235.0965,93.129,0.8339,0.2581,9.3593,Soothed,Positiva - Baja activación,16.52,Refreshed,20.5,Calm,25.22
Amazon Berkeley Objects,Hogar - Sillas,"AmazonBasics Classic Fabric Tufted Dining Chair with Wooden Legs - Set of 2, Charcoal",https://m.media-amazon.com/images/I/91FnAzXVPHL._SX512_.jpg,176.8089,175.0702,175.3678,69.8142,0.7795,0.0848,34.4865,Thirsty,Neutral - Sensorial,7.81,Refreshed,8.48,Relaxed,10.15
Amazon Berkeley Objects,Moda - Mochilas,AmazonBasics Sports Backpack Grey,https://m.media-amazon.com/images/I/A1z-jK98eIL._SX512_.jpg,142.171,143.7514,146.192,57.7967,-0.0287,-1.5044,33.1068,Thirsty,Neutral - Sensorial,8.77,Sleepy,14.98,Relaxed,14.99
Amazon Berkeley Objects,Hogar - Mesas,"Stone & Beam Reclaimed Fir Ladder-Rung Counter Bar Dining Table, 36""H",https://m.media-amazon.com/images/I/812GlDb4GEL._SX512_.jpg,236.8266,231.4922,226.5906,91.6705,1.476,3.5577,19.8406,Soothed,Positiva - Baja activación,17.3,Refreshed,19.2,Happy,23.66
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - The Fix Women's Talia Backless Slip-on Fashion Sneaker, Midnight Navy, 9.5 M US",https://m.media-amazon.com/images/I/71LtdWbh6gL._SX512_.jpg,162.1517,161.8471,166.3243,63.5232,1.3093,-2.6765,43.2195,Thirsty,Neutral - Sensorial,6.52,Relaxed,11.58,Refreshed,13.98
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Sneakers,https://m.media-amazon.com/images/I/611eaICN4YL._SX512_.jpg,152.2677,147.8046,140.5275,58.9271,0.5407,4.6407,38.1206,Thirsty,Neutral - Sensorial,10.57,Healthy,15.98,Anxious,16.28
Amazon Berkeley Objects,Moda - Zapatos,Centrino Men's D Tan Fisherman Sandals-8 UK (42 EU) (9 US) (6106-01),https://m.media-amazon.com/images/I/71e5Yeq0V8L._SX512_.jpg,213.3643,198.5677,191.1502,80.1926,5.5888,7.0388,30.1254,Refreshed,Positiva - Baja activación,13.75,Happy,18.12,Soothed,18.13
Amazon Berkeley Objects,Moda - Zapatos,"find. Encontrar. Mocasines Driver 2 para Mujer, Azul Marino, 9",https://m.media-amazon.com/images/I/71jmQxZolKL._SX512_.jpg,214.6164,214.5155,215.4409,84.3918,0.3146,-0.6019,31.2707,Soothed,Positiva - Baja activación,10.1,Refreshed,12.68,Relaxed,17.19
Amazon Berkeley Objects,Moda - Zapatos,Flavia Women's Pink Running Shoes-6 UK (38 EU) (7 US) (FKT/FB-05/PNK),https://m.media-amazon.com/images/I/81tnAPVxUOL._SX512_.jpg,229.2288,217.3248,216.5363,87.2826,4.4259,2.1996,20.331,Soothed,Positiva - Baja activación,15.84,Refreshed,16.9,Relaxed,22.47
Amazon Berkeley Objects,Moda - Zapatos,"FIND Men's Arland Driver Loafer Shoes,Beige (Stone),8 UK (42 EU),Arland Driver",https://m.media-amazon.com/images/I/71tuZ9LYjrL._SX512_.jpg,203.506,193.4265,180.4225,78.1378,2.1339,8.6191,22.2342,Refreshed,Positiva - Baja activación,10.72,Happy,16.93,Soothed,17.34
Amazon Berkeley Objects,Hogar - Sofás,Amazon Brand - Solimo Sofie Fabric 3 seater Sofa (Grey),https://m.media-amazon.com/images/I/71ejfQTZXUL._SX512_.jpg,144.7171,137.3642,129.2611,56.1126,1.5712,5.4785,29.9951,Thirsty,Neutral - Sensorial,13.35,Anxious,13.74,Irritated,15.52
Amazon Berkeley Objects,Moda - Zapatos,"The Drop Women's Listilla Espadrille Flatform Ankle Strap Sandal, Microsuede Cognac, 6.5",https://m.media-amazon.com/images/I/61GGnnctaML._SX512_.jpg,217.3998,199.9382,182.6143,81.1742,4.4387,11.84,21.3512,Happy,Positiva - Alta activación,13.19,Refreshed,15.45,Soothed,21.22
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Sneakers,https://m.media-amazon.com/images/I/81ExOGOOxwL._SX512_.jpg,137.4231,137.3288,137.3537,54.2482,0.0492,-0.0074,42.4413,Thirsty,Neutral - Sensorial,12.04,Sleepy,12.57,Bored,12.88
Amazon Berkeley Objects,Hogar - Sillas,"Amazon Brand – Stone & Beam Decatur Modern Tufted Wingback Living Room Accent Chair, 32.3""W, Oatmeal",https://m.media-amazon.com/images/I/B1+IRlmjv0S._SX512_.jpg,215.9068,207.917,195.6173,83.3867,0.7966,7.2921,17.2496,Refreshed,Positiva - Baja activación,12.36,Soothed,15.78,Happy,18.05
Amazon Berkeley Objects,Hogar - Sofás,"Amazon Brand - Alkove Elvas Leather Sofa, 2 Seater Maxi, Grey",https://m.media-amazon.com/images/I/71v3k8BBPpL._SX512_.jpg,196.0708,195.6172,196.8186,77.9557,0.4324,-0.6173,28.1832,Refreshed,Positiva - Baja activación,8.37,Soothed,9.4,Relaxed,12.39
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - The Fix Women's Finley Dome Stud Slide Sandal, Bright Blue,8 B US",https://m.media-amazon.com/images/I/71ojgySMkLL._SX512_.jpg,161.9554,168.2822,185.0631,67.2527,3.485,-10.0488,35.7533,Thirsty,Neutral - Sensorial,11.91,Relaxed,12.84,Calm,16.89
Amazon Berkeley Objects,Moda - Bolsos,AmazonBasics Messenger Bag - Grey,https://m.media-amazon.com/images/I/91-wTDkPv+L._SX512_.jpg,194.6163,192.2785,191.6226,76.6295,0.8124,0.6864,30.3433,Refreshed,Positiva - Baja activación,7.66,Soothed,10.82,Relaxed,12.41
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Essentials Girls' Aeron Sneaker, Pink, 11 Medium US Toddler",https://m.media-amazon.com/images/I/71EnrCzQ6dL._SX512_.jpg,223.1061,209.6828,212.5751,84.981,5.4388,0.3918,15.5545,Soothed,Positiva - Baja activación,14.85,Refreshed,16.07,Relaxed,20.84
Amazon Berkeley Objects,Moda - Zapatos,"The Drop Berlin Sandalias de tacón ancho, Blanco, 10 (US) 41 (EU)",https://m.media-amazon.com/images/I/514VHoCcboL._SX512_.jpg,227.6131,226.5138,225.2296,89.6329,0.213,0.8598,18.9042,Soothed,Positiva - Baja activación,13.85,Refreshed,16.96,Relaxed,22.07
Amazon Berkeley Objects,Moda - Mochilas,"AmazonBasics - Zaino da viaggio compatto, Per il fine settimana, Verde",https://m.media-amazon.com/images/I/A1-hBOk1CnL._SX512_.jpg,107.7378,123.7649,138.4746,49.7114,-1.6262,-10.2156,29.6669,Sleepy,Negativa - Baja activación,6.57,Bored,10.04,Sad,15.62
Amazon Berkeley Objects,Moda - Collares,Sterling Silver Floating Multicolor Cubic Zirconia Heart Pendant Necklace,https://m.media-amazon.com/images/I/815dxyW2qJL._SX512_.jpg,242.5987,242.0683,241.1119,95.2812,0.0632,0.6412,14.9367,Soothed,Positiva - Baja activación,18.1,Refreshed,22.25,Calm,26.68
Amazon Berkeley Objects,Moda - Zapatos,"vinden. Amz038_leer, Dekschoenen voor heren,Zwart,8 UK",https://m.media-amazon.com/images/I/71JhLgTDGVL._SX512_.jpg,232.382,232.2615,232.4403,91.3753,0.0932,-0.0896,22.6722,Soothed,Positiva - Baja activación,14.65,Refreshed,18.67,Calm,23.37
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand – Ravenna Home Angela Modern Turned Leg Side Table, 20""W, White",https://m.media-amazon.com/images/I/61X9kECM7RL._SX512_.jpg,247.3025,246.0028,244.2004,96.902,0.1241,1.0404,5.6902,Soothed,Positiva - Baja activación,19.65,Refreshed,23.79,Calm,28.17
Amazon Berkeley Objects,Moda - Pulseras,Amazon Collection JEB00019_110CL7QJD00 Silver Ag925 Bracelet,https://m.media-amazon.com/images/I/41kvJFTS8EL._SX512_.jpg,246.5619,246.5181,246.7983,96.9225,0.0669,-0.1319,10.9812,Soothed,Positiva - Baja activación,19.25,Refreshed,23.92,Calm,27.72
Amazon Berkeley Objects,Moda - Zapatos,"find. Classic Casual, Men’s Chukka Boots",https://m.media-amazon.com/images/I/81pDE05pKuL._SX512_.jpg,226.0938,222.5966,221.668,88.102,1.3994,1.1943,24.966,Soothed,Positiva - Baja activación,13.71,Refreshed,16.03,Relaxed,21.32
Amazon Berkeley Objects,Moda - Zapatos,"find. Amazon Brand Men's Espadrilles, Black, US 10",https://m.media-amazon.com/images/I/71ohWtEfk+L._SX512_.jpg,235.4575,235.271,235.045,92.4992,0.025,0.1658,21.5371,Soothed,Positiva - Baja activación,15.61,Refreshed,19.66,Calm,24.29
Amazon Berkeley Objects,Hogar - Cojines,"Amazon Brand – Stone & Beam Farmhouse Thin Stripe Cotton Pillow, 19"", Edgar Graphite",https://m.media-amazon.com/images/I/A1--Vuw1PlL._SX512_.jpg,216.1268,215.0684,214.3151,85.8496,0.2259,0.507,13.1649,Soothed,Positiva - Baja activación,11.35,Refreshed,13.62,Relaxed,18.69
Amazon Berkeley Objects,Hogar - Escritorios,Amazon Brand – Umi Computer Writing Desk Simple Computer Table for Home Office Sturdy Wooden desk Latop PC Workstation - 120 × 60cm,https://m.media-amazon.com/images/I/71yi3XhHtvL._SX512_.jpg,238.1612,236.2693,232.0176,93.2568,0.1199,2.3969,15.7007,Soothed,Positiva - Baja activación,17.23,Refreshed,20.21,Happy,25.55
Amazon Berkeley Objects,Hogar - Camas,"Amazon Brand – Stone & Beam Contemporary Curved Wood King Bed, 79""W, Toffee Oak",https://m.media-amazon.com/images/I/81Lk3fEzGiL._SX512_.jpg,231.0442,227.2871,225.1552,90.043,1.2972,1.885,20.7092,Soothed,Positiva - Baja activación,15.23,Refreshed,17.66,Relaxed,23.14
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Oxford leather formal shoes - 8 UK/India (42 EU)(AZ-WS-113B),https://m.media-amazon.com/images/I/81WjGDdtgfL._SX512_.jpg,219.6886,212.9119,211.4726,84.5406,2.8002,2.1365,30.4015,Soothed,Positiva - Baja activación,13.52,Refreshed,13.76,Relaxed,19.47
Amazon Berkeley Objects,Cocina - Tostadoras,"AmazonBasics 2-Slot Toaster, White",https://m.media-amazon.com/images/I/71u6TIuxd5L._SX512_.jpg,223.917,224.3377,225.0883,88.9173,-0.004,-0.4229,16.3941,Soothed,Positiva - Baja activación,12.63,Refreshed,16.44,Relaxed,21.04
Amazon Berkeley Objects,Moda - Zapatos,"Simple Joys by Carter's Chaussures décontractées à Enfiler. Fashion-Sneakers, Gris, 5 Toddler",https://m.media-amazon.com/images/I/81V0gGloFdL._SX512_.jpg,197.1337,194.3565,192.7706,77.4729,0.8285,1.28,29.4126,Refreshed,Positiva - Baja activación,7.85,Soothed,10.98,Relaxed,13.16
Amazon Berkeley Objects,Moda - Bolsos,Nia & Nicole Women's Handbag (Navy Blue),https://m.media-amazon.com/images/I/71xCGuTG3DL._SX512_.jpg,192.2459,195.8046,203.0616,77.4914,0.6232,-4.7282,32.7316,Soothed,Positiva - Baja activación,8.13,Refreshed,10.76,Relaxed,11.43
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Navy Textile Sneakers-6 UK (AZ-YS-391),https://m.media-amazon.com/images/I/81rIAQdtP+L._SX512_.jpg,141.6439,142.7278,152.2466,56.7589,2.0814,-5.9098,40.1997,Thirsty,Neutral - Sensorial,11.55,Sleepy,13.44,Bored,15.03
Amazon Berkeley Objects,Hogar - Sillas,"Amazon Brand – Stone & Beam Elmore Pillow-Top Armless Chair, 24""W, Cocoa",https://m.media-amazon.com/images/I/91-rm-iU4oL._SX512_.jpg,212.1569,205.3576,195.5751,82.3329,0.8582,6.0088,19.5017,Refreshed,Positiva - Baja activación,11.2,Soothed,14.54,Relaxed,18.76
Amazon Berkeley Objects,Hogar - Alfombras,"Amazon Brand – Stone & Beam Contemporary Hourglass Wool Area Rug, 5 x 7 Foot, Navy",https://m.media-amazon.com/images/I/A1NJpQ+q7hL._SX512_.jpg,109.8834,108.4998,107.5513,44.658,0.836,0.7802,26.8076,Bored,Negativa - Baja activación,5.53,Sleepy,8.31,Irritated,16.42
Amazon Berkeley Objects,Moda - Zapatos,"Skechers Concept 3 メンズ Arizin レースアップスニーカー, ブラック/ホワイト, 24.5",https://m.media-amazon.com/images/I/81OhBmqjh2L._SX512_.jpg,192.5874,192.5841,192.5256,75.7451,-0.0072,0.0241,37.6299,Refreshed,Positiva - Baja activación,6.91,Soothed,10.16,Relaxed,11.05
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - find. Men's Franco, Brown Tan), US 11.5",https://m.media-amazon.com/images/I/81RFJUU+akL._SX512_.jpg,225.0211,219.642,216.2955,87.0423,2.0927,2.9705,27.6016,Soothed,Positiva - Baja activación,14.59,Refreshed,15.35,Relaxed,21.35
Amazon Berkeley Objects,Moda - Zapatos,"Marca Amazon - find. Smart Zapatos de Cordones Brogue, Marrón Brandy, 37 EU",https://m.media-amazon.com/images/I/71X+1mAlh5L._SX512_.jpg,171.3949,142.994,135.5833,60.3943,11.2556,9.7003,34.6397,Anxious,Negativa - Alta activación,10.67,Romantic,11.84,Sensual,12.68
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Women's White + Red Sneakers-6 UK (39 EU) (9 US) (AZ-WSY-12),https://m.media-amazon.com/images/I/71nC-PTi7tL._SX512_.jpg,230.0151,222.4846,220.7033,89.1613,2.612,2.5844,16.5915,Soothed,Positiva - Baja activación,15.81,Refreshed,17.44,Relaxed,23.18
Amazon Berkeley Objects,Hogar - Lámparas,"Amazon Brand – Stone & Beam Modern Farmhouse Wood Base Adjustable Living Room Floor Lamp With LED Light Bulb And White Shade- 16 x 16 x 66.25 Inches, Black",https://m.media-amazon.com/images/I/418DZS6SpTL._SX512_.jpg,248.4264,248.1707,248.1149,97.4659,0.1128,0.0908,12.1338,Soothed,Positiva - Baja activación,19.82,Refreshed,24.42,Calm,28.27
Amazon Berkeley Objects,Moda - Zapatos,Bourge Men's Grey Running Shoes-7 UK (41 EU) (8 US) (Reef-03),https://m.media-amazon.com/images/I/81NOMleh8qL._SX512_.jpg,198.7056,199.1157,201.4925,78.9109,0.3179,-1.3076,30.994,Soothed,Positiva - Baja activación,8.76,Refreshed,9.09,Relaxed,12.74
Amazon Berkeley Objects,Hogar - Sillas,"Amazon Brand – Stone & Beam Modern Leather Wingback Chair, 32.75""W, Havana Brown",https://m.media-amazon.com/images/I/81XfqHmsQYL._SX512_.jpg,161.7797,147.6319,137.8647,60.0886,4.9216,8.4893,37.1508,Anxious,Negativa - Alta activación,12.81,Irritated,15.19,Thirsty,15.25
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - 206 Collective Women's Brinnon Moto Boot, Dark Brown, 7 B US",https://m.media-amazon.com/images/I/61LghFhpcoL._SX512_.jpg,152.7168,148.1036,147.6493,58.8479,2.0173,1.047,40.9405,Thirsty,Neutral - Sensorial,9.82,Relaxed,16.16,Refreshed,17.25
Amazon Berkeley Objects,Hogar - Sofás,ROSSINI CANOVA 2 SEATER MAXI,https://m.media-amazon.com/images/I/71-kbq-MfXL._SX512_.jpg,212.4719,207.7064,204.1599,82.9737,1.2173,2.6116,22.9627,Refreshed,Positiva - Baja activación,11.52,Soothed,12.27,Relaxed,17.64
Amazon Berkeley Objects,Hogar - Sillas,"Amazon Brand – Stone & Beam Edmunds Traditional Recliner, 30""W, Grey",https://m.media-amazon.com/images/I/A1Joh4Z1riL._SX512_.jpg,190.5459,186.468,181.08,75.1965,0.5533,3.4324,21.9708,Refreshed,Positiva - Baja activación,6.68,Thirsty,12.82,Soothed,13.0
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Inkast Denim Co. Men's Brown Sneakers-9 UK (43 EU) (10 US) (AZ-IK-012),https://m.media-amazon.com/images/I/81ThUMY0Y4L._SX512_.jpg,177.6167,187.238,191.8976,74.0154,-1.8418,-3.4132,31.0866,Relaxed,Positiva - Baja activación,7.52,Refreshed,7.64,Soothed,8.31
Amazon Berkeley Objects,Moda - Zapatos,"The Fix Amazon Brand Women's Luna Jogger Fashion Sneaker, Black Multi, 8 B US",https://m.media-amazon.com/images/I/81+PyW+c6zL._SX512_.jpg,161.134,152.9268,148.3408,61.758,2.6339,3.789,36.5272,Thirsty,Neutral - Sensorial,10.11,Refreshed,15.0,Relaxed,16.07
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Burgundy suede Leather Brogue Shoes,https://m.media-amazon.com/images/I/81uTLhyXD9L._SX512_.jpg,223.3683,213.0419,215.1063,85.2198,4.8338,1.0117,29.8225,Soothed,Positiva - Baja activación,14.71,Refreshed,15.72,Relaxed,20.8
Amazon Berkeley Objects,Moda - Zapatos,FLAVIA Women's Pink Running Shoes-UK7 (FKT/SD-0053/PNK),https://m.media-amazon.com/images/I/811tN9ZVezL._SX512_.jpg,236.3152,225.0609,224.4213,90.1617,4.1318,1.9798,16.4163,Soothed,Positiva - Baja activación,17.05,Refreshed,19.1,Happy,24.42
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Arthur Harvey Men's BLACK/GREY Leather Formal Shoes - 11 UK (AZ-ST-015B),https://m.media-amazon.com/images/I/81IDa-txyOL._SX512_.jpg,147.9246,143.2963,142.2513,57.4685,1.9259,1.4454,38.0841,Thirsty,Neutral - Sensorial,10.8,Sleepy,16.37,Anxious,16.39
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's White Synthetic Sneakers-6 UK/India (40 EU) (AZ-YS-392A),https://m.media-amazon.com/images/I/71OODzNRz0L._SX512_.jpg,237.732,237.5161,238.1779,93.4865,0.2505,-0.3325,18.8335,Soothed,Positiva - Baja activación,16.33,Refreshed,20.73,Calm,24.97
Amazon Berkeley Objects,Moda - Zapatos,"find. Women's Almoq-1w305 Open Back Slippers, Brown Choco, 8 us",https://m.media-amazon.com/images/I/61tS+qqGT9L._SX512_.jpg,181.6878,176.5793,174.9772,70.4626,1.9088,1.6516,35.6296,Refreshed,Positiva - Baja activación,8.77,Thirsty,9.53,Relaxed,11.94
Amazon Berkeley Objects,Moda - Zapatos,"Red Wagon Quilted Triple Strap Velcro, Boys’ Low-Top Sneakers",https://m.media-amazon.com/images/I/817eAe0yLeL._SX512_.jpg,235.859,235.7677,236.9497,92.8345,0.341,-0.6455,19.764,Soothed,Positiva - Baja activación,15.73,Refreshed,20.2,Calm,24.38
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Essentials Jaya, Girl's Sneaker",https://m.media-amazon.com/images/I/81u0hmszJzL._SX512_.jpg,227.0369,213.8739,216.3343,86.4786,5.2241,0.5616,14.5872,Soothed,Positiva - Baja activación,15.31,Refreshed,16.96,Relaxed,21.85
Amazon Berkeley Objects,Moda - Zapatos,"find. Men's Gotham Moccasin, Blue Light Blue, 8 US",https://m.media-amazon.com/images/I/81KhDzrcZbL._SX512_.jpg,227.4671,230.4724,234.9605,90.9734,0.2111,-2.8017,18.3962,Soothed,Positiva - Baja activación,13.51,Refreshed,18.98,Calm,22.11
Amazon Berkeley Objects,Moda - Pendientes,[アマゾンコレクション] Amazon Collection 14Kイエローゴールド マイクロパヴェ ホワイトスワロフスキージルコニア 小アヒルシェイプスタッドピアス 両耳用スタッドピアス JEE13563_5NNCL00A100,https://m.media-amazon.com/images/I/61sYnD6YeiL._SX512_.jpg,251.2888,250.8031,247.952,98.4543,-0.2472,1.4893,7.8062,Soothed,Positiva - Baja activación,21.03,Refreshed,25.17,Happy,29.01
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Brown Loafers-7 UK/India (40.5 EU)(AZ-WS-999G),https://m.media-amazon.com/images/I/81Q1fAmETlL._SX512_.jpg,224.5734,221.7731,221.131,87.4305,1.1315,0.8813,28.8656,Soothed,Positiva - Baja activación,12.99,Refreshed,15.35,Relaxed,20.54
Amazon Berkeley Objects,Hogar - Alfombras,"Ravenna Home Tangram Rug, 5'W x 7'6""L, Tessellated Circle Design",https://m.media-amazon.com/images/I/A1bt59HFBYL._SX512_.jpg,105.6126,99.8068,94.7463,41.7178,1.6399,3.5429,22.5635,Bored,Negativa - Baja activación,7.72,Sleepy,11.38,Irritated,15.29
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand – Rivet Federal Mid-Century Modern Medium Wood Dining Table, 60-82""L, Brown",https://m.media-amazon.com/images/I/81-bopS4jHL._SX512_.jpg,226.6176,222.5047,220.1779,87.9132,1.4792,2.133,27.4074,Soothed,Positiva - Baja activación,14.17,Refreshed,15.82,Relaxed,21.49
Amazon Berkeley Objects,Moda - Sombreros,"Amazon Essentials Men's Baseball Cap, Yellow, One Size",https://m.media-amazon.com/images/I/81XGdlFPQbL._SX512_.jpg,206.1774,186.0536,122.9906,75.7799,1.3424,33.779,20.6524,Alert,Positiva - Alta activación,4.45,Energized,9.59,Happy,11.08
Amazon Berkeley Objects,Moda - Zapatos,"find. Men's Cupsole Boat Shoe, Blue Suede, womens 12",https://m.media-amazon.com/images/I/716CxRKo2NL._SX512_.jpg,226.0766,226.5768,227.781,89.1008,0.1463,-0.8289,26.1307,Soothed,Positiva - Baja activación,12.67,Refreshed,16.75,Relaxed,21.18
Amazon Berkeley Objects,Hogar - Sillas,UMI Essentials Bonded Leather Recliner Armchair with Drink Holders - Reclining Chair Cinema Sofa,https://m.media-amazon.com/images/I/61-JdgFVmqL._SX512_.jpg,144.5968,144.5968,144.5968,57.3449,-0.0015,0.0029,39.7754,Thirsty,Neutral - Sensorial,9.36,Sleepy,15.2,Relaxed,15.78
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Arthur Harvey Men's GREY/BLACK Leather Formal Shoes - 9 UK (AZ-ST-017B),https://m.media-amazon.com/images/I/81SL-FG1OCL._SX512_.jpg,155.8412,151.7454,152.4486,61.1951,1.8823,0.2676,34.1321,Thirsty,Neutral - Sensorial,8.18,Relaxed,14.25,Refreshed,15.28
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand – Rivet Fulton Modern Rustic Dining Table, 71""L, Natural",https://m.media-amazon.com/images/I/71ARtDOE2UL._SX512_.jpg,244.96,243.0261,240.0614,95.632,0.2597,1.7894,15.2246,Soothed,Positiva - Baja activación,18.91,Refreshed,22.55,Happy,27.18
Amazon Berkeley Objects,Moda - Zapatos,Centrino Men's 5659 Navy Loafers-10 UK (44 EU) (11 US) (5659-01),https://m.media-amazon.com/images/I/71RmqyNLdBL._SX512_.jpg,192.82,192.326,192.9923,76.0446,0.4565,-0.435,34.9132,Refreshed,Positiva - Baja activación,7.59,Soothed,10.11,Relaxed,11.35
Amazon Berkeley Objects,Hogar - Cojines,"Amazon Brand – Stone & Beam Rustic Stripe Throw Pillow - 17 x 17 Inch, Thunder",https://m.media-amazon.com/images/I/A1IOAe9dfuL._SX512_.jpg,197.6505,187.9245,179.3017,75.5456,2.0385,5.6168,29.051,Refreshed,Positiva - Baja activación,8.59,Thirsty,14.79,Soothed,15.38
Amazon Berkeley Objects,Moda - Pendientes,AJC Collection(AJC コレクション) スターリングシルバー マーカサイト & バゲットカット ブルートパーズ カラージェム ライン ピアス,https://m.media-amazon.com/images/I/61OcPKD6gpL._SX512_.jpg,237.9855,239.4993,239.2491,94.1459,-0.502,0.004,16.8207,Soothed,Positiva - Baja activación,16.68,Refreshed,21.1,Calm,25.26
